"DATE","TIME PERIOD","Deposit facility - Eurosystem (ILM.M.U2.C.L020200.U2.EUR)"
"1999-02-28","1999Feb","608"
"1999-03-31","1999Mar","1409"
"1999-04-30","1999Apr","254"
"1999-05-31","1999May","414"
"1999-06-30","1999Jun","607"
"1999-07-31","1999Jul","550"
"1999-08-31","1999Aug","961"
"1999-09-30","1999Sep","724"
"1999-10-31","1999Oct","612"
"1999-11-30","1999Nov","382"
"1999-12-31","1999Dec","983"
"2000-01-31","2000Jan","510"
"2000-02-29","2000Feb","217"
"2000-03-31","2000Mar","257"
"2000-04-30","2000Apr","856"
"2000-05-31","2000May","2337"
"2000-06-30","2000Jun","837"
"2000-07-31","2000Jul","546"
"2000-08-31","2000Aug","275"
"2000-09-30","2000Sep","184"
"2000-10-31","2000Oct","229"
"2000-11-30","2000Nov","181"
"2000-12-31","2000Dec","186"
"2001-01-31","2001Jan","600"
"2001-02-28","2001Feb","419"
"2001-03-31","2001Mar","543"
"2001-04-30","2001Apr","465"
"2001-05-31","2001May","583"
"2001-06-30","2001Jun","375"
"2001-07-31","2001Jul","449"
"2001-08-31","2001Aug","198"
"2001-09-30","2001Sep","421"
"2001-10-31","2001Oct","125"
"2001-11-30","2001Nov","286"
"2001-12-31","2001Dec","814"
"2002-01-31","2002Jan","552"
"2002-02-28","2002Feb","73"
"2002-03-31","2002Mar","119"
"2002-04-30","2002Apr","214"
"2002-05-31","2002May","292"
"2002-06-30","2002Jun","366"
"2002-07-31","2002Jul","225"
"2002-08-31","2002Aug","105"
"2002-09-30","2002Sep","214"
"2002-10-31","2002Oct","108"
"2002-11-30","2002Nov","101"
"2002-12-31","2002Dec","239"
"2003-01-31","2003Jan","281"
"2003-02-28","2003Feb","296"
"2003-03-31","2003Mar","120"
"2003-04-30","2003Apr","234"
"2003-05-31","2003May","175"
"2003-06-30","2003Jun","284"
"2003-07-31","2003Jul","272"
"2003-08-31","2003Aug","113"
"2003-09-30","2003Sep","571"
"2003-10-31","2003Oct","203"
"2003-11-30","2003Nov","276"
"2003-12-31","2003Dec","71"
"2004-01-31","2004Jan","95"
"2004-03-31","2004Mar","236"
"2004-04-30","2004Apr","403"
"2004-05-31","2004May","79"
"2004-06-30","2004Jun","484"
"2004-07-31","2004Jul","121"
"2004-08-31","2004Aug","167"
"2004-09-30","2004Sep","171"
"2004-10-31","2004Oct","40"
"2004-11-30","2004Nov","279"
"2004-12-31","2004Dec","105"
"2005-01-31","2005Jan","91"
"2005-02-28","2005Feb","77"
"2005-03-31","2005Mar","72"
"2005-04-30","2005Apr","110"
"2005-05-31","2005May","132"
"2005-06-30","2005Jun","175"
"2005-07-31","2005Jul","164"
"2005-08-31","2005Aug","281"
"2005-09-30","2005Sep","68"
"2005-10-31","2005Oct","87"
"2005-11-30","2005Nov","109"
"2005-12-31","2005Dec","118"
"2006-01-31","2006Jan","74"
"2006-02-28","2006Feb","92"
"2006-03-31","2006Mar","159"
"2006-04-30","2006Apr","327"
"2006-05-31","2006May","195"
"2006-06-30","2006Jun","106"
"2006-07-31","2006Jul","594"
"2006-08-31","2006Aug","88"
"2006-09-30","2006Sep","55"
"2006-10-31","2006Oct","222"
"2006-11-30","2006Nov","55"
"2006-12-31","2006Dec","52"
"2007-01-31","2007Jan","153"
"2007-02-28","2007Feb","76"
"2007-03-31","2007Mar","452"
"2007-04-30","2007Apr","289"
"2007-05-31","2007May","492"
"2007-06-30","2007Jun","235"
"2007-07-31","2007Jul","327"
"2007-08-31","2007Aug","364"
"2007-09-30","2007Sep","445"
"2007-10-31","2007Oct","1565"
"2007-11-30","2007Nov","605"
"2007-12-31","2007Dec","411"
"2008-01-31","2008Jan","1124"
"2008-02-29","2008Feb","445"
"2008-03-31","2008Mar","258"
"2008-04-30","2008Apr","646"
"2008-05-31","2008May","310"
"2008-06-30","2008Jun","183"
"2008-07-31","2008Jul","437"
"2008-08-31","2008Aug","338"
"2008-09-30","2008Sep","553"
"2008-10-31","2008Oct","19934"
"2008-11-30","2008Nov","213716"
"2008-12-31","2008Dec","200888"
"2009-01-31","2009Jan","238453"
"2009-02-28","2009Feb","175441"
"2009-03-31","2009Mar","95472"
"2009-04-30","2009Apr","57770"
"2009-05-31","2009May","42679"
"2009-06-30","2009Jun","22338"
"2009-07-31","2009Jul","119696"
"2009-08-31","2009Aug","185145"
"2009-09-30","2009Sep","136675"
"2009-10-31","2009Oct","109590"
"2009-11-30","2009Nov","86451"
"2009-12-31","2009Dec","65677"
"2010-01-31","2010Jan","146963"
"2010-02-28","2010Feb","168265"
"2010-03-31","2010Mar","186430"
"2010-04-30","2010Apr","200714"
"2010-05-31","2010May","218246"
"2010-06-30","2010Jun","288753"
"2010-07-31","2010Jul","230384"
"2010-08-31","2010Aug","96723"
"2010-09-30","2010Sep","83714"
"2010-10-31","2010Oct","68823"
"2010-11-30","2010Nov","41920"
"2010-12-31","2010Dec","44655"
"2011-01-31","2011Jan","66476"
"2011-02-28","2011Feb","39248"
"2011-03-31","2011Mar","26942"
"2011-04-30","2011Apr","22977"
"2011-05-31","2011May","22750"
"2011-06-30","2011Jun","18398"
"2011-07-31","2011Jul","29534"
"2011-08-31","2011Aug","56702"
"2011-09-30","2011Sep","121824"
"2011-10-31","2011Oct","168670"
"2011-11-30","2011Nov","204551"
"2011-12-31","2011Dec","253669"
"2012-01-31","2012Jan","399290"
"2012-02-29","2012Feb","489011"
"2012-03-31","2012Mar","620952"
"2012-04-30","2012Apr","771305"
"2012-05-31","2012May","771437"
"2012-06-30","2012Jun","770752"
"2012-07-31","2012Jul","770573"
"2012-08-31","2012Aug","343073"
"2012-09-30","2012Sep","328619"
"2012-10-31","2012Oct","305359"
"2012-11-30","2012Nov","256065"
"2012-12-31","2012Dec","231823"
"2013-01-31","2013Jan","238390"
"2013-02-28","2013Feb","184326"
"2013-03-31","2013Mar","145306"
"2013-04-30","2013Apr","133822"
"2013-05-31","2013May","114471"
"2013-06-30","2013Jun","90482"
"2013-07-31","2013Jul","92118"
"2013-08-31","2013Aug","82620"
"2013-09-30","2013Sep","79196"
"2013-10-31","2013Oct","58868"
"2013-11-30","2013Nov","52104"
"2013-12-31","2013Dec","48319"
"2014-01-31","2014Jan","60069"
"2014-02-28","2014Feb","42083"
"2014-03-31","2014Mar","29538"
"2014-04-30","2014Apr","29231"
"2014-05-31","2014May","29694"
"2014-06-30","2014Jun","28299"
"2014-07-31","2014Jul","23852"
"2014-08-31","2014Aug","24646"
"2014-09-30","2014Sep","25244"
"2014-10-31","2014Oct","24268"
"2014-11-30","2014Nov","30973"
"2014-12-31","2014Dec","27254"
"2015-01-31","2015Jan","50235"
"2015-03-31","2015Mar","42357"
"2015-04-30","2015Apr","68596"
"2015-06-30","2015Jun","99725"
"2015-07-31","2015Jul","103091"
"2015-09-30","2015Sep","148043"
"2015-10-31","2015Oct","152775"
"2015-12-31","2015Dec","173072"
"2016-01-31","2016Jan","196572"
"2016-03-31","2016Mar","230505"
"2016-04-30","2016Apr","261985"
"2016-06-30","2016Jun","309034"
"2016-07-31","2016Jul","323089"
"2016-09-30","2016Sep","355095"
"2016-10-31","2016Oct","387253"
"2016-12-31","2016Dec","439361"
"2017-01-31","2017Jan","434439"
"2017-03-31","2017Mar","479212"
"2017-05-31","2017May","549962"
"2017-06-30","2017Jun","593733"
"2017-07-31","2017Jul","595327"
"2017-09-30","2017Sep","611437"
"2017-10-31","2017Oct","648085"
"2017-12-31","2017Dec","682512"
"2018-01-31","2018Jan","689154"
"2018-03-31","2018Mar","686290"
"2018-05-31","2018May","668011"
"2018-06-30","2018Jun","659498"
"2018-07-31","2018Jul","651835"
"2018-09-30","2018Sep","671204"
"2018-10-31","2018Oct","631798"
"2018-12-31","2018Dec","635948"
"2019-01-31","2019Jan","639984"
"2019-03-31","2019Mar","637634"
"2019-04-30","2019Apr","619604"
"2019-06-30","2019Jun","601947"
"2019-07-31","2019Jul","570838"
"2019-09-30","2019Sep","555742"
"2019-10-31","2019Oct","456607"
"2019-12-31","2019Dec","257906"
"2020-01-31","2020Jan","254648"
"2020-03-31","2020Mar","244621"
"2020-05-31","2020May","271780"
"2020-06-30","2020Jun","299943"
"2020-07-31","2020Jul","355979"
"2020-09-30","2020Sep","413198"
"2020-11-30","2020Nov","460677"
"2020-12-31","2020Dec","535393"
"2021-01-31","2021Jan","586912"
"2021-03-31","2021Mar","598028"
"2021-04-30","2021Apr","676381"
"2021-06-30","2021Jun","706517"
"2021-07-31","2021Jul","736589"
"2021-09-30","2021Sep","766640"
"2021-11-30","2021Nov","738486"
"2021-12-31","2021Dec","745034"
"2022-02-28","2022Feb","734203"
"2022-03-31","2022Mar","745977"
"2022-04-30","2022Apr","714869"
"2022-06-30","2022Jun","681341"
"2022-07-31","2022Jul","678680"
"2022-09-30","2022Sep","707017"
"2022-11-30","2022Nov","4490010"
"2022-12-31","2022Dec","4521540"
"2023-02-28","2023Feb","4051554"
"2023-03-31","2023Mar","4103002"
"2023-05-31","2023May","3996050"
"2023-06-30","2023Jun","4126375"
"2023-08-31","2023Aug","3704441"
"2023-09-30","2023Sep","3647438"
"2023-10-31","2023Oct","3577381"
"2023-12-31","2023Dec","3548816"
"2024-01-31","2024Jan","3487374"
"2024-03-31","2024Mar","3490879"
"2024-04-30","2024Apr","3337902"
"2024-06-30","2024Jun","3213951"
"2024-07-31","2024Jul","3113207"
"2024-09-30","2024Sep","3058678"
"2024-10-31","2024Oct","2989121"
"2024-12-31","2024Dec","2927921"
"2025-02-28","2025Feb","2904377"
"2025-03-31","2025Mar","2846873"
"2025-04-30","2025Apr","2806880"
"2025-06-30","2025Jun","2740031"
"2025-07-31","2025Jul","2670579"
"2025-09-30","2025Sep","2642828"
"2025-11-30","2025Nov","2572768"
"2025-12-31","2025Dec","2478211"
