"DATE","TIME PERIOD","Total excess reserves of credit institutions subject to minimum reserve requirements (BSI.M.U2.N.R.LRE.X.1.A1.3000.Z01.E)"
"1999-02-28","1999Feb","1017.00"
"1999-03-31","1999Mar","1605.00"
"1999-04-30","1999Apr","1106.00"
"1999-05-31","1999May","1034.00"
"1999-06-30","1999Jun","941.00"
"1999-07-31","1999Jul","982.00"
"1999-08-31","1999Aug","768.00"
"1999-09-30","1999Sep","634.00"
"1999-10-31","1999Oct","705.00"
"1999-11-30","1999Nov","710.00"
"1999-12-31","1999Dec","734.00"
"2000-01-31","2000Jan","961.00"
"2000-02-29","2000Feb","578.00"
"2000-03-31","2000Mar","584.00"
"2000-04-30","2000Apr","966.00"
"2000-05-31","2000May","683.00"
"2000-06-30","2000Jun","721.00"
"2000-07-31","2000Jul","819.00"
"2000-08-31","2000Aug","616.00"
"2000-09-30","2000Sep","688.00"
"2000-10-31","2000Oct","756.00"
"2000-11-30","2000Nov","610.00"
"2000-12-31","2000Dec","742.00"
"2001-01-31","2001Jan","619.00"
"2001-02-28","2001Feb","603.00"
"2001-03-31","2001Mar","590.00"
"2001-04-30","2001Apr","581.00"
"2001-05-31","2001May","616.00"
"2001-06-30","2001Jun","685.00"
"2001-07-31","2001Jul","694.00"
"2001-08-31","2001Aug","627.00"
"2001-09-30","2001Sep","784.00"
"2001-10-31","2001Oct","659.00"
"2001-11-30","2001Nov","598.00"
"2001-12-31","2001Dec","994.00"
"2002-01-31","2002Jan","1668.00"
"2002-02-28","2002Feb","830.00"
"2002-03-31","2002Mar","850.00"
"2002-04-30","2002Apr","652.00"
"2002-05-31","2002May","689.00"
"2002-06-30","2002Jun","774.00"
"2002-07-31","2002Jul","727.00"
"2002-08-31","2002Aug","659.00"
"2002-09-30","2002Sep","589.00"
"2002-10-31","2002Oct","619.00"
"2002-11-30","2002Nov","622.00"
"2002-12-31","2002Dec","753.00"
"2003-01-31","2003Jan","704.00"
"2003-02-28","2003Feb","707.00"
"2003-03-31","2003Mar","698.00"
"2003-04-30","2003Apr","647.00"
"2003-05-31","2003May","602.00"
"2003-06-30","2003Jun","641.00"
"2003-07-31","2003Jul","601.00"
"2003-08-31","2003Aug","688.00"
"2003-09-30","2003Sep","637.00"
"2003-10-31","2003Oct","643.00"
"2003-11-30","2003Nov","732.00"
"2003-12-31","2003Dec","792.00"
"2004-01-31","2004Jan","878.00"
"2004-02-29","2004Feb"
"2004-03-31","2004Mar","660.00"
"2004-04-30","2004Apr","667.00"
"2004-05-31","2004May","600.00"
"2004-06-30","2004Jun","654.00"
"2004-07-31","2004Jul","799.00"
"2004-08-31","2004Aug","596.00"
"2004-09-30","2004Sep","584.00"
"2004-10-31","2004Oct","609.00"
"2004-11-30","2004Nov","662.00"
"2004-12-31","2004Dec","595.00"
"2005-01-31","2005Jan","729.00"
"2005-02-28","2005Feb","781.00"
"2005-03-31","2005Mar","804.00"
"2005-04-30","2005Apr","628.00"
"2005-05-31","2005May","932.00"
"2005-06-30","2005Jun","858.00"
"2005-07-31","2005Jul","700.00"
"2005-08-31","2005Aug","626.00"
"2005-09-30","2005Sep","573.00"
"2005-10-31","2005Oct","721.00"
"2005-11-30","2005Nov","694.00"
"2005-12-31","2005Dec","1025.00"
"2006-01-31","2006Jan","809.00"
"2006-02-28","2006Feb","721.00"
"2006-03-31","2006Mar","628.00"
"2006-04-30","2006Apr","616.00"
"2006-05-31","2006May","779.00"
"2006-06-30","2006Jun","727.00"
"2006-07-31","2006Jul","777.00"
"2006-08-31","2006Aug","607.00"
"2006-09-30","2006Sep","597.00"
"2006-10-31","2006Oct","664.00"
"2006-11-30","2006Nov","783.00"
"2006-12-31","2006Dec","682.00"
"2007-01-31","2007Jan","961.00"
"2007-02-28","2007Feb","789.00"
"2007-03-31","2007Mar","799.00"
"2007-04-30","2007Apr","791.00"
"2007-05-31","2007May","1023.00"
"2007-06-30","2007Jun","918.00"
"2007-07-31","2007Jul","1245.00"
"2007-08-31","2007Aug","738.00"
"2007-09-30","2007Sep","855.00"
"2007-10-31","2007Oct","877.00"
"2007-11-30","2007Nov","704.00"
"2007-12-31","2007Dec","966.00"
"2008-01-31","2008Jan","1071.00"
"2008-02-29","2008Feb","754.00"
"2008-03-31","2008Mar","681.00"
"2008-04-30","2008Apr","643.00"
"2008-05-31","2008May","810.00"
"2008-06-30","2008Jun","751.00"
"2008-07-31","2008Jul","811.00"
"2008-08-31","2008Aug","705.00"
